"district","school","enroll","mmr_pct","mmr_partial","mmr_nonmedical","notes","MMR_pct_vac","MMR_pct_nodoses","MMR_pct_nonmedical","category"
"MARSHALL","TRUE LIGHT CHRISTIAN SCHOOL",9,1,0,0,NA,0.92,0,0.0769,"low(85-95)"
"METRO DEAF CHARTER SCHOOL","METRO DEAF SCHOOL",13,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"MILACA","COMMUNITY CHRISTIAN SCHOOL",12,1,0,0,NA,0.75,0,0.25,"very low"
"MINNEAPOLIS","ANNUNCIATION",54,1,0,0,NA,0.95,0,0.0541,"95 and above"
"MINNEAPOLIS","ASCENSION",44,1,0,0,NA,0.94,0.0645,0,"low(85-95)"
"MINNEAPOLIS","HOPE ACADEMY",45,1,0,0,NA,0.91,0.093,0,"low(85-95)"
"MINNEAPOLIS","PILGRIM LUTHERAN",6,1,0,0,NA,1,0,0,"95 and above"
"MINNEAPOLIS","POPE JOHN PAUL II",10,1,0,0,NA,0.93,0.0667,0,"low(85-95)"
"MINNEAPOLIS","RIVER BEND EDUCATION CENTER",11,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"MINNEAPOLIS","TRINITY FIRST LUTHERAN",11,1,0,0,NA,0.94,0,0.0588,"low(85-95)"
"MINNESOTA STATE ACADEMIES","MN ACADEMY FOR THE BLIND",7,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"MN MATH AND SCIENCE ACADEMY","MINNESOTA MATH AND SCIENCE ACADEMY",40,1,0,0,NA,0.77,0.2308,0,"very low"
"NEW HEIGHTS SCHOOL INC.","NEW HEIGHTS SCHOOL INC.",19,1,0,0,NA,0.8,0.2,0,"very low"
"NEW PRAGUE AREA SCHOOLS","ST WENCESLAUS",21,1,0,0,NA,0.89,0,0.1111,"low(85-95)"
"NEW ULM","NEW ULM AREA CATHOLIC SCHOOL",31,1,0,0,NA,0.97,0,0.0333,"95 and above"
"NOBLE ACADEMY","NOBLE ACADEMY",85,1,0,0,NA,0.93,0.0727,0,"low(85-95)"
"NORTH ST PAUL-MAPLEWOOD","CHRIST LUTHERAN",8,1,0,0,NA,0.88,0.1176,0,"low(85-95)"
"NORTH ST PAUL-MAPLEWOOD","GETHSEMANE LUTHERAN",18,1,0,0,NA,1,0,0,"95 and above"
"NORTH ST PAUL-MAPLEWOOD","HARMONY LEARNING CENTER",5,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"NORTH ST PAUL-MAPLEWOOD","PRESENTATION OF THE BVM",12,1,0,0,NA,1,0,0,"95 and above"
"NORWOOD","EMANUEL LUTHERAN",5,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"OSSEO","ST ALPHONSUS",16,1,0,0,NA,0.85,0.1538,0,"low(85-95)"
"OSSEO","ST JOHNS LUTHERAN",15,1,0,0,NA,0.94,0,0.0588,"low(85-95)"
"OSSEO","ST VINCENT DE PAUL",52,1,0,0,NA,0.97,0,0.0256,"95 and above"
"PINE POINT","PINE POINT ELEMENTARY",6,1,0,0,NA,0.82,0.1818,0,"very low"
"PRINSBURG","CENTRAL MINNESOTA CHRISTIAN",24,1,0,0,NA,0.63,0.2667,0.1,"very low"
"PRIOR LAKE-SAVAGE AREA SCHOOLS","ST MICHAELS CATHOLIC",31,1,0,0,NA,0.94,0,0.0556,"low(85-95)"
"RED LAKE","PONEMAH EL.",22,1,0,0,NA,0.77,0.2273,0,"very low"
"REDWOOD FALLS AREA SCHOOLS","ST JOHN LUTHERAN",8,1,0,0,NA,0.94,0,0.0556,"low(85-95)"
"RENVILLE COUNTY WEST","RENVILLE COUNTY WEST PUBLIC SCHOOL #2890",51,1,0,0,NA,1,0,0,"95 and above"
"ROCHESTER","LINCOLN AT MANN EL.",48,1,0,0,NA,0.94,0,0.06,"low(85-95)"
"ROCHESTER","ROCHESTER MONTESSORI",6,1,0,0,NA,0.95,0.0455,0,"95 and above"
"ROCHESTER","ROCHESTER PHOENIX ACADEMY",6,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"ROSEMOUNT-APPLE VALLEY-EAGAN","GOOD SHEPHERD LUTHERAN",8,1,0,0,NA,0.73,0,0.1818,"very low"
"ROSEMOUNT-APPLE VALLEY-EAGAN","ST JOSEPHS CATHOLIC",24,1,0,0,NA,1,0,0,"95 and above"
"ROSEVILLE","ST JEROME",8,1,0,0,NA,0.91,0,0.0909,"low(85-95)"
"ROSEVILLE","ST JOHN SCHOOL OF LITTLE CANADA",19,1,0,0,NA,1,0,0,"95 and above"
"ROSEVILLE","ST ROSE OF LIMA",18,1,0,0,NA,1,0,0,"95 and above"
"ROUND LAKE-BREWSTER PUBLIC SCHOOLS","ROUND LAKE-BREWSTER PUBLIC SCHOOLS",19,1,0,0,NA,0.91,0.0889,0,"low(85-95)"
"SHAKOPEE","SHAKOPEE AREA CATHOLIC",64,1,0,0,NA,1,0,0,"95 and above"
"SIBLEY EAST","ST PAULS LUTHERAN",5,1,0,0,NA,1,0,0,"95 and above"
"SOUTH ST. PAUL","HOLY TRINITY",14,1,0,0,NA,0.73,0.2667,0,"very low"
"SOUTH WASHINGTON COUNTY","NEW LIFE ACADEMY",57,1,0,0,NA,0.9,0,0.0667,"low(85-95)"
"SOUTH WASHINGTON COUNTY","SAINT AMBROSE OF WOODBURY",56,1,0,0,NA,0.95,0,0.0492,"95 and above"
"SOUTHLAND","SACRED HEART",9,1,0,0,NA,0.88,0,0.125,"low(85-95)"
"SOUTHWEST METRO INTERMEDIATE","SW METRO LEVEL 4 PROGRAMS",10,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"SPRING GROVE","SPRING GROVE PUBLIC SCHOOLS",26,1,0,0,NA,0.96,0,0.0385,"95 and above"
"SPRING LAKE PARK","CALVIN CHRISTIAN   GRADES K-8",33,1,0,0,NA,0.82,0,0.1765,"very low"
"ST. CLOUD","PRINCE OF PEACE LUTHERAN",13,1,0,0,NA,0.94,0.0625,0,"low(85-95)"
"ST. FRANCIS","TRINITY LUTHERAN SCHOOL",6,1,0,0,NA,0.81,0.1875,0,"very low"
"ST. JAMES","ST PAULS LUTHERAN",5,1,0,0,NA,1,0,0,"95 and above"
"ST. LOUIS COUNTY","NORTHWOODS ELEMENTARY AND SECONDARY",49,1,0,0,NA,1,0,0,"95 and above"
"ST. LOUIS COUNTY","SOUTH RIDGE ELEMENTARY AND SOUTH RIDGE HIGH SCHOOL",45,1,0,0,NA,1,0,0,"95 and above"
"ST. LOUIS PARK","MINNEAPOLIS JEWISH DAY SCHOOL",29,1,0,0,NA,0.89,0,0.1111,"low(85-95)"
"ST. LOUIS PARK","TORAH ACADEMY",25,1,0,0,NA,0.88,0,0.1154,"low(85-95)"
"ST. MICHAEL-ALBERTVILLE","ST MICHAEL CATHOLIC SCHOOL",42,1,0,0,NA,0.9,0,0.0952,"low(85-95)"
"ST. PAUL","BRIDGE VIEW",12,1,0,0,NA,0.83,0,0.1667,"very low"
"ST. PAUL","CENTRAL LUTHERAN",10,1,0,0,NA,0.8,0.2,0,"very low"
"ST. PAUL","LUBAVITCH CHEDAR DAY SCHOOL",7,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"ST. PAUL","MATERNITY OF MARY/ST ANDREW",15,1,0,0,NA,0.88,0.0833,0.0417,"low(85-95)"
"ST. PAUL","NATIVITY",84,1,0,0,NA,0.98,0.0156,0,"95 and above"
"ST. PAUL","ST. MARK",15,1,0,0,NA,0.83,0.1667,0,"very low"
"ST. PAUL","ST. PASCAL BAYLON",16,1,0,0,NA,0.9,0.1,0,"low(85-95)"
"ST. PAUL","ST. THOMAS MORE",21,1,0,0,NA,1,0,0,"95 and above"
"STILLWATER","SALEM LUTHERAN",10,1,0,0,NA,0.83,0,0.1667,"very low"
"TRI-CITY UNITED SCHOOL DISTRICT","MONTGOMERY K-8",104,1,0,0,NA,0.96,0,0.0417,"95 and above"
"UNITED SOUTH CENTRAL","USC SCHOOL",47,1,0,0,NA,1,0,0,"95 and above"
"WACONIA","ST JOSEPH",17,1,0,0,NA,1,0,0,"95 and above"
"WATERTOWN-MAYER","ZION LUTHERAN-MAYER",9,1,0,0,NA,0.81,0.1875,0,"very low"
"WAUBUN","WAUBUN/OGEMA  SCHOOL",49,1,0,0,NA,0.86,0.1356,0,"low(85-95)"
"WEST ST. PAUL-MENDOTA HTS.-EAGAN","COMMUNITY OF SAINTS",11,1,0,0,NA,0.84,0,0.1579,"very low"
"WEST ST. PAUL-MENDOTA HTS.-EAGAN","ST JOSEPH",25,1,0,0,NA,0.98,0.0238,0,"95 and above"
"WESTONKA","OUR LADY OF THE LAKE",9,1,0,0,NA,0.92,0,0.0833,"low(85-95)"
"WHITE BEAR LAKE","FRASSATI CATHOLIC ACADEMY",19,1,0,0,NA,1,0,0,"95 and above"
"WINONA AREA PUBLIC SCHOOLS","ST JOHNS LUTHERAN",7,1,0,0,NA,1,0,0,"95 and above"
"WINONA AREA PUBLIC SCHOOLS","ST MATTHEWS LUTHERAN",5,1,0,0,NA,0.78,0.1111,0.1111,"very low"
"WORTHINGTON","WORTHINGTON CHRISTIAN",6,1,0,0,NA,0.8,0,0.2,"very low"
"ALEXANDRIA","GARFIELD EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ANOKA-HENNEPIN","MINNESOTA RENAISSANCE SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BEMIDJI","CENTRAL EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BENTON STEARNS EDUCATION DISTRICT","BENTON STEARNS EDUCATION DISTRICT",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BERTHA-HEWITT","PIONEER AMISH PAROCHIAL SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BLUESKY CHARTER SCHOOL","BLUESKY CHARTER SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BRAINERD","LAKE REGION CHRISTIAN",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BUFFALO","SALEM LUTHERAN",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BUFFALO","TATANKA EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"BURNSVILLE","NICOLLET JR.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CANNON VALLEY SPECIAL ED COOPERATIVE","ALEXANDER LEARNING ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CANNON VALLEY SPECIAL ED COOPERATIVE","CVSEC STEP",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CANNON VALLEY SPECIAL ED COOPERATIVE","LAURA BAKER SUN PROGRAM",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CENTENNIAL","CENTENNIAL EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CENTENNIAL","RICE LAKE EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CHASKA","CLOVER RIDGE",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CHASKA","JONATHAN MONTESSORI",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CHISAGO LAKES","LEVEL 4 PROGRAM PATHWAYS TO CHANGE",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"CHISAGO LAKES","SOAR",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DISCOVERY PUBLIC SCHOOL FARIBAULT","DISCOVERY PUBLIC SCHOOL FARIBAULT",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","BETHANY CRISIS SHELTER",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","DENFELD HIGH SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","LAURA MACARTHUR EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","LESTER PARK EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","MYERS-WILKINS ELEMENTARY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","ORDEAN-EAST",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"DULUTH","SUPERIOR ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"EDVISIONS OFF CAMPUS SCHOOL","EDVISIONS OFF CAMPUS HIGH SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ENRICH KINGSLAND","ENRICH KINGSLAND",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ENRICH KINGSLAND","SMEC TARGETED SERVICES",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"FARIBAULT","FARIBAULT AREA LEARNING CTR.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"FOREST LAKE","ST. PETER",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"FRIENDSHIP ACDMY OF FINE ARTS CHTR","FRIENDSHIP ACDMY OF FINE ARTS CHTR",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"GLACIAL RIDGE TRANSITIONAL SKILLS PROGRAM","GLACIAL RIDGE TRANSITIONAL SKILLS PROGRAM",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"GLENVILLE-EMMONS","GLENVILLE EMMONS E.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"GLENVILLE-EMMONS","GLENVILLE-EMMONS SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"HMONG ACADEMY","HMONG COLLEGE PREP ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"HOPKINS","ACADEMY OF WHOLE LEARNING",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"INTENSIVE DCD SNW","INTENSIVE DCD SNW",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"INTENSIVE DCD SNW","LITTLE MOUNTAIN ELEMENTARY SNW",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"INTERMEDIATE SCHOOL DISTRICT 287","HENNEPIN GATEWAY TO COLLEGE",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"INTERMEDIATE SCHOOL DISTRICT 287","PRAIRIE CARE EDINA - PHP",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"INTERMEDIATE SCHOOL DISTRICT 287","SAFE",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ISLE","ISLE ALC",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ISLE","ISLE EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ISLE","ISLE SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"JENNINGS EXPERIENTIAL HIGH SCHOOL","JENNINGS COMMUNITY LEARNING CENTER",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"KALEIDOSCOPE CHARTER SCHOOL","KALEIDOSCOPE MIDDLE SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"KIPP MINNESOTA CHARTER SCHOOL","KIPP NORTH STAR PRIMARY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"LAKEVILLE","GLORY ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"LAKEVILLE","HUDDLESTON EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"LEARNING FOR LEADERSHIP CHARTER","LEARNING FOR LEADERSHIP",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"M.A.C.C.R.A.Y.","M.A.C.C.R.A.Y. EAST EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"M.A.C.C.R.A.Y.","M.A.C.C.R.A.Y. SR.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"M.A.C.C.R.A.Y.","M.A.C.C.R.A.Y. WEST EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MANKATO","PRAIRIE CARE MANKATO",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MAPLE LAKE","MAPLE LAKE SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MCGREGOR","MCGREGOR EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MCGREGOR","MCGREGOR SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MEEKER AND WRIGHT SPECIAL EDUCATION","MEEKER AND WRIGHT SPECIAL EDUCATION",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MILROY AREA CHARTER SCHOOL","MILROY AREA CHARTER SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINISINAAKWAANG LEADERSHIP ACADEMY","MINISINAAKWAANG LEADERSHIP ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINNEAPOLIS","MPS METRO C",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINNEAPOLIS","MPS METRO HA",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINNEAPOLIS","MPS SJ",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINNEAPOLIS","SEWARD EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINNESOTA ONLINE HIGH SCHOOL","MINNESOTA ONLINE HIGH SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MINNESOTA TRANSITIONS CHARTER SCH","MINNESOTA VIRTUAL HIGH SCHOOL 6-12",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MOUNTAIN LAKE","ELMENDORF SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"MOUNTAIN LAKE","NEUHOF SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"NETT LAKE","NETT LAKE EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"NEW SPIRIT SCHOOL","ST. PAUL CITY SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"NORTH BRANCH","VERITAS ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"NORTH ST PAUL-MAPLEWOOD","CAPITAL CITY ADVENT CHRISTIAN",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ONAMIA","KOKESH ALC",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ONAMIA","MILLE LACS ACADEMY - NEXUS",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"PILLAGER","PILLAGER EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"PILLAGER","PILLAGER SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"PILLAGER AREA","PILLAGER AREA CHARTER SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RED ROCK CENTRAL","RED ROCK CENTRAL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RED WING","TWIN BLUFF MID.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RICHFIELD","RICHFIELD STEM SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RIVER BEND EDUCATION DISTRICT","IMPRINTS PROGRAM",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RIVER BEND EDUCATION DISTRICT","R.I.S.E. PROGRAM",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RIVER BEND EDUCATION DISTRICT","RIVER BEND AREA LEARNING CENTER",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"RIVERWAY LEARNING COMMUNITY CHTR","RIVERWAY SECONDARY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","HOLY TRINITY LUTHERAN SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","KING OF GRACE LUTHERAN",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","ROBBINSDALE SPANISH IMMERSION EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","ROBBINSDALE TASC ALC",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","SACRED HEART",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","SONNESYN EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","ST RAPHAEL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","STEP BY STEP MONTESSORI-PLYMOUTH",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROBBINSDALE","ZACHARY LANE EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROCHESTER","ROCHESTER PENTECOSTAL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROCHESTER","SCHAEFFER ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROSEVILLE","CHILDRENS DISCOVERY ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ROTHSAY","ROTHSAY PUBLIC SCHOOLS",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"SAUK CENTRE","HOLY FAMILY-SAUK CENTRE",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"SEJONG ACADEMY OF MINNESOTA","SEJONG ACADEMY OF MINNESOTA",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"SOUTHSIDE FAMILY CHARTER SCHOOL","SOUTHSIDE FAMILY CHARTER SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ST. FRANCIS","ST FRANCIS CHRISTIAN",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ST. PAUL","CATHEDRAL HILL MONTESSORI SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ST. PAUL","CHRISTS HOUSEHOLD OF FAITH",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ST. PAUL","GUADALUPE ALTERNATIVE PROGRAMS",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ST. PAUL","LETOILE DU NORD LOWER",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"STAR OF THE NORTH ACADEMY CHARTER SCHOOL","STAR OF THE NORTH ACADEMY CHARTER SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"STARRS ONLINE ACADEMY","STARRS ONLINE ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"THIEF RIVER FALLS","ST BERNARD",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"TRITON","GRACE LUTHERAN",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"TRITON","MARANATHA SEVENTH DAY ADVENTIST",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"TRITON","TRITON SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"UNDERWOOD","UNDERWOOD EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"UNDERWOOD","UNDERWOOD SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"VALLEY VIEW","RIVER VALLEY ACADEMY",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"VALLEY VIEW","SAIL - STUDENTS ACHIEVING INTEGRATED LEARNING",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WABASSO","WABASSO PUBLIC SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WATERSHED HIGH SCHOOL","WATERSHED HIGH SCHOOL",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WAYZATA","EAST MIDDLE ALTERNATIVE",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WAYZATA","STEP BY STEP MONTESSORI-WAYZATA",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WHEATON AREA SCHOOL","PEARSON EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WHEATON AREA SCHOOL","WHEATON SEC.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"WHITE BEAR LAKE","OTTER LAKE EL.",NA,NA,NA,NA,"Did not report",NA,NA,NA,"Did not report"
"ALEXANDRIA","NEW TESTAMENT CHRISTIAN",NA,NA,NA,NA,"Enrollment < 5",0.8,0,0.2,"very low"
"ANOKA-HENNEPIN","COON RAPIDS CHRISTIAN SCHOOL",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ANOKA-HENNEPIN","NORTHSIDE CHRISTIAN BLAINE CAMPUS",NA,NA,NA,NA,"Enrollment < 5",0.75,0.0833,0.1667,"very low"
"ANOKA-HENNEPIN","WAY OF THE SHEPHERD",NA,NA,NA,NA,"Enrollment < 5",0.54,0.0769,0.3846,"very low"
"BEMIDJI","ST. MARK",NA,NA,NA,NA,"Enrollment < 5",0.6,0.2,0.2,"very low"
"BLOOMINGTON","LIFE ACADEMY",NA,NA,NA,NA,"Enrollment < 5",0.8,0.2,0,"very low"
"BURNSVILLE","CYPRUS CLASSICAL MONTESSORI & ACADEMY",NA,NA,NA,NA,"Enrollment < 5",0.63,0,0.375,"very low"
"CAMBRIDGE-ISANTI","ST SCHOLASTIC PAROCHIAL SCHOOL",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"CANNON FALLS","ST PAULS LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"CHISAGO LAKES","CHISAGO LAKES BAPTIST",NA,NA,NA,NA,"Enrollment < 5",0.7,0.2,0.1,"very low"
"CLINTON-GRACEVILLE-BEARDSLEY","LISMORE COLONY ELEMENTARY",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"DELANO","MT OLIVE LUTHERAN",NA,NA,NA,NA,"Enrollment < 5",0,1,0,"very low"
"EDGERTON","FREE CHRISTIAN",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"ELK RIVER","ISD 728 FOCUS/JOURNEY",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"HASTINGS","PINE HARBOR CHRISTIAN ACADEMY",NA,NA,NA,NA,"Enrollment < 5",0.63,0,0.375,"very low"
"HENDRICKS","HENDRICKS PUBLIC SCHOOL",NA,NA,NA,NA,"Enrollment < 5",0.93,0.0714,0,"low(85-95)"
"HERMAN-NORCROSS","HERMAN-NORCROSS COMMUNITY SCHOOL",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
"HERON LAKE-OKABENA","ST JOHNS LUTHERAN SCHOOL",NA,NA,NA,NA,"Enrollment < 5",NA,NA,NA,"Enrollment < 5"
"HOPKINS","MINNETONKA CHRISTIAN ACADEMY",NA,NA,NA,NA,"Enrollment < 5",0.5,0.3333,0.1667,"very low"
"HOWARD LAKE-WAVERLY-WINSTED","HOLY TRINITY",NA,NA,NA,NA,"Enrollment < 5",1,0,0,"95 and above"
