district,school,enroll,dtap_pct_vac,dtap_partial,dtap_nonmedical,dtap_medical,polio_pct,polio_partial,polio_nonmedical,polio_medical,mmr_pct,mmr_partial,mmr_nonmedical,mmr_medical,hepb_pct,hepb_partial,hepb_nonmedical,hepb_medical,varicella_pct,varicella_partial,varicella_diseasehistory,varicella_nonmedical,varicella_medical,tdap_pct,tdap_nodoses,tdap_nonmedical,tdap_medical,meningococcal_pct,meningococcal_nodoses,meningococcal_nonmedical,meningococcal_medical,notes
MANKATO,MOUNT OLIVE LUTHERAN,9,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MANKATO,RISEN SAVIOR LUTHERAN SCHOOL,8,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8750,0.1250,0.0000,0.0000,0.8750,0.1250,0.0000,0.0000,
MARSHALL,HOLY REDEEMER,26,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9615,0.0385,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MARSHALL,TRUE LIGHT CHRISTIAN SCHOOL,9,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
METRO DEAF CHARTER SCHOOL,METRO DEAF SCHOOL,13,0.8462,0.1538,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8462,0.1538,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,
MILACA,COMMUNITY CHRISTIAN SCHOOL,12,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9167,0.0833,0.0000,0.0000,0.9167,0.0833,0.0000,0.0000,
MINNEAPOLIS,ANNUNCIATION,54,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9815,0.0185,0.0000,0.0000,0.0000,0.9444,0.0556,0.0000,0.0000,0.9444,0.0556,0.0000,0.0000,
MINNEAPOLIS,ASCENSION,44,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9318,0.0682,0.0000,0.0000,0.9318,0.0682,0.0000,0.0000,
MINNEAPOLIS,HOPE ACADEMY,45,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8444,0.1333,0.0222,0.0000,0.8667,0.1111,0.0222,0.0000,
MINNEAPOLIS,LAKE NOKOMIS COMMUNITY SCHOOL - KEEWAYDIN CAMPUS,73,0.9863,0.0137,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6575,0.3425,0.0000,0.0000,0.6164,0.3836,0.0000,0.0000,
MINNEAPOLIS,PILGRIM LUTHERAN,6,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MINNEAPOLIS,POPE JOHN PAUL II,10,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MINNEAPOLIS,RIVER BEND EDUCATION CENTER,11,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9091,0.0909,0.0000,0.0000,
MINNEAPOLIS,TRINITY FIRST LUTHERAN,11,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MINNESOTA STATE ACADEMIES,MN ACADEMY FOR THE BLIND,7,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MINNEWASKA,MINNEWASKA HS 7-12,81,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9877,0.0000,0.0123,0.0000,0.0000,0.8889,0.1111,0.0000,0.0000,0.8889,0.1111,0.0000,0.0000,
MN MATH AND SCIENCE ACADEMY,MINNESOTA MATH AND SCIENCE ACADEMY,40,0.7500,0.2500,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9000,0.1000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
MOOSE LAKE,MOOSE LAKE SEC.,47,0.9574,0.0426,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9574,0.0000,0.0426,0.0000,0.0000,0.9574,0.0426,0.0000,0.0000,0.9574,0.0426,0.0000,0.0000,
MOUNTAIN LAKE,MOUNTAIN LAKE SEC.,35,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.2000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
N.E. METRO INTERMEDIATE DIST. 916,CREATIVE ALTERNATIVES,7,1.0000,0.0000,0.0000,0.0000,0.8571,0.1429,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8571,0.1429,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.7143,0.2857,0.0000,0.0000,0.7143,0.2857,0.0000,0.0000,
N.E. METRO INTERMEDIATE DIST. 916,CREATIVE ALTERNATIVES PROGRAM,7,1.0000,0.0000,0.0000,0.0000,0.8571,0.1429,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8571,0.1429,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,0.4286,0.5714,0.0000,0.0000,
N.E. METRO INTERMEDIATE DIST. 916,TRANSITION PROGRAM,10,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.2000,0.0000,0.0000,0.7000,0.3000,0.0000,0.0000,
NASHWAUK-KEEWATIN,NASHWAUK SEC.,47,1.0000,0.0000,0.0000,0.0000,0.9787,0.0000,0.0213,0.0000,1.0000,0.0000,0.0000,0.0000,0.9787,0.0000,0.0213,0.0000,0.9149,0.0000,0.0000,0.0426,0.0426,0.9787,0.0213,0.0000,0.0000,0.9574,0.0213,0.0213,0.0000,
NAY-AH-SHING,NAY AH SHING HIGH SCHOOL,10,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NEW CENTURY CHARTER SCHOOL,NEW CENTURY ACADEMY,19,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NEW CITY SCHOOL,NEW CITY CHARTER SCHOOL - EAST CAMPUS,17,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9412,0.0588,0.0000,0.0000,0.0000,0.7647,0.2353,0.0000,0.0000,0.6471,0.3529,0.0000,0.0000,
NEW HEIGHTS SCHOOL INC.,NEW HEIGHTS SCHOOL INC.,19,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9474,0.0526,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9474,0.0526,0.0000,0.0000,
NEW PRAGUE AREA SCHOOLS,ST WENCESLAUS,21,1.0000,0.0000,0.0000,0.0000,0.9048,0.0000,0.0952,0.0000,1.0000,0.0000,0.0000,0.0000,0.9524,0.0000,0.0476,0.0000,0.8571,0.0000,0.1429,0.0000,0.0000,0.9524,0.0000,0.0476,0.0000,0.9524,0.0000,0.0476,0.0000,
NEW ULM,NEW ULM AREA CATHOLIC SCHOOL,31,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NICOLLET,NICOLLET SEC.,37,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9459,0.0000,0.0541,0.0000,0.9189,0.0541,0.0000,0.0270,
NOBLE ACADEMY,NOBLE ACADEMY,85,0.9882,0.0118,0.0000,0.0000,0.9765,0.0235,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9882,0.0000,0.0118,0.0000,0.0000,0.8353,0.1647,0.0000,0.0000,0.8706,0.1294,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,CHRIST LUTHERAN,8,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,GETHSEMANE LUTHERAN,18,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9444,0.0000,0.0556,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,HARMONY LEARNING CENTER,5,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,PRESENTATION OF THE BVM,12,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
NORWOOD,EMANUEL LUTHERAN,5,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ONAMIA,ONAMIA INTERMEDIATE SCHOOL,42,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9762,0.0000,0.0238,0.0000,0.0000,0.5714,0.4286,0.0000,0.0000,0.3095,0.6905,0.0000,0.0000,
ORTONVILLE,ORTONVILLE SEC.,31,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
OSSEO,ST ALPHONSUS,16,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8750,0.0625,0.0625,0.0000,0.8750,0.0625,0.0625,0.0000,
OSSEO,ST JOHNS LUTHERAN,15,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9333,0.0667,0.0000,0.0000,0.8667,0.1333,0.0000,0.0000,
OSSEO,ST VINCENT DE PAUL,52,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9808,0.0000,0.0192,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
PARK RAPIDS,PARK RAPIDS AREA CENTURY MID.,142,1.0000,0.0000,0.0000,0.0000,0.9930,0.0070,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9859,0.0000,0.0141,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
PINE POINT,PINE POINT ELEMENTARY,6,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,
PRINSBURG,CENTRAL MINNESOTA CHRISTIAN,24,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.8750,0.1250,0.0000,0.0000,0.8750,0.1250,0.0000,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,ST MICHAELS CATHOLIC,31,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9677,0.0000,0.0323,0.0000,0.9677,0.0000,0.0000,0.0323,0.0000,1.0000,0.0000,0.0000,0.0000,0.9677,0.0000,0.0323,0.0000,
RED LAKE,PONEMAH EL.,22,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9545,0.0455,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
REDWOOD FALLS AREA SCHOOLS,ST JOHN LUTHERAN,8,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
RENVILLE COUNTY WEST,RENVILLE COUNTY WEST PUBLIC SCHOOL #2890,51,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9804,0.0000,0.0196,0.0000,0.9804,0.0000,0.0196,0.0000,
ROCHESTER,FRIEDELL MID.,153,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9739,0.0000,0.0261,0.0000,0.0000,0.9935,0.0000,0.0065,0.0000,0.9935,0.0000,0.0065,0.0000,
ROCHESTER,LINCOLN AT MANN EL.,48,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROCHESTER,ROCHESTER MONTESSORI,6,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,0.8333,0.1667,0.0000,0.0000,
ROCHESTER,ROCHESTER PHOENIX ACADEMY,6,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROCHESTER,VICTORY ACADEMY,5,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROCHESTER BEACON ACADEMY,ROCHESTER BEACON ACADEMY,18,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6111,0.3889,0.0000,0.0000,0.6111,0.3889,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,DAKOTA RIDGE SCHOOL,9,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.7778,0.0000,0.1111,0.0000,0.1111,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,GOOD SHEPHERD LUTHERAN,8,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,ST JOSEPHS CATHOLIC,24,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROSEVILLE,ST JEROME,8,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROSEVILLE,ST JOHN SCHOOL OF LITTLE CANADA,19,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ROSEVILLE,ST ROSE OF LIMA,18,0.9444,0.0000,0.0556,0.0000,0.9444,0.0000,0.0556,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9444,0.0000,0.0556,0.0000,1.0000,0.0000,0.0000,0.0000,
ROUND LAKE-BREWSTER PUBLIC SCHOOLS,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,19,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8947,0.0526,0.0526,0.0000,0.0000,0.9474,0.0526,0.0000,0.0000,0.9474,0.0526,0.0000,0.0000,
SHAKOPEE,SHAKOPEE AREA CATHOLIC,64,0.9688,0.0000,0.0000,0.0313,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9688,0.0000,0.0000,0.0313,
SIBLEY EAST,ST PAULS LUTHERAN,5,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,0.2000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SLEEPY EYE,SLEEPY EYE SEC.,39,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.5385,0.0000,0.4615,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SOUTH KOOCHICHING,"NORTHOME, SECONDARY",13,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SOUTH ST. PAUL,HOLY TRINITY,14,0.9286,0.0000,0.0000,0.0714,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9286,0.0000,0.0000,0.0714,1.0000,0.0000,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,NEW LIFE ACADEMY,57,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9474,0.0000,0.0351,0.0175,0.0000,0.9474,0.0000,0.0526,0.0000,0.9474,0.0000,0.0526,0.0000,
SOUTH WASHINGTON COUNTY,SAINT AMBROSE OF WOODBURY,56,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9643,0.0000,0.0357,0.0000,0.0000,0.9821,0.0000,0.0179,0.0000,0.9821,0.0000,0.0179,0.0000,
SOUTHLAND,SACRED HEART,9,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8889,0.0000,0.0000,0.1111,0.0000,0.8889,0.1111,0.0000,0.0000,0.8889,0.1111,0.0000,0.0000,
SOUTHLAND,SOUTHLAND MID.,29,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9655,0.0345,0.0000,0.0000,
SOUTHWEST METRO INTERMEDIATE,SW METRO LEVEL 4 PROGRAMS,10,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9000,0.1000,0.0000,0.0000,0.6000,0.4000,0.0000,0.0000,
SPRING GROVE,SPRING GROVE PUBLIC SCHOOLS,26,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SPRING LAKE PARK,CALVIN CHRISTIAN   GRADES K-8,33,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9697,0.0000,0.0303,0.0000,0.9394,0.0000,0.0606,0.0000,0.0000,0.9394,0.0000,0.0606,0.0000,0.9394,0.0000,0.0606,0.0000,
ST. CLAIR,ST. CLAIR SEC.,58,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
ST. CLOUD,PRINCE OF PEACE LUTHERAN,13,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9231,0.0000,0.0769,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,0.9231,0.0769,0.0000,0.0000,
ST. FRANCIS,TRINITY LUTHERAN SCHOOL,6,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,
ST. JAMES,ST PAULS LUTHERAN,5,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.2000,0.0000,0.8000,0.2000,0.0000,0.0000,0.8000,0.2000,0.0000,0.0000,
